186,302,0.02,-552,Loss
187,110,0.03,-340,Loss
188,132,0.03,-202,Loss
189,464,0.01,-714,Loss
190,86,0.02,-126,Loss
191,152,0.02,-412,Loss
192,210,0.02,-470,Loss
193,131,0.02,-391,Loss
194,234,0.02,-484,Loss
195,364,0.01,-624,Loss
196,131,0.01,-351,Loss
197,50,0.01,-300,Loss
198,303,0.01,-343,Loss
199,68,0.02,-318,Loss
200,249,0.02,-519,Loss
201,167,0.02,-407,Loss
202,281,0.02,-501,Loss
203,70,0.02,-330,Loss
204,60,0.02,-310,Loss
205,212,0.02,-462,Loss
206,154,0.02,-404,Loss
207,306,0.02,-526,Loss
208,218,0.02,-448,Loss
209,150,0.02,-410,Loss
210,499,0.02,-719,Loss
211,146,0.01,-356,Loss
212,182,0.02,-232,Loss
213,133,0.03,-403,Loss
214,259,0.02,-519,Loss
215,174,0.02,-434,Loss
216,83,0.03,-423,Loss
217,189,0.02,-409,Loss
218,32,0.02,-282,Loss
219,75,0.01,-315,Loss
220,59,0.02,-309,Loss
221,36,0.02,-286,Loss
222,100,0.03,-370,Loss
223,82,0.03,-422,Loss
224,254,0.02,-504,Loss
225,305,0.01,-355,Loss
226,111,0.03,-161,Loss
227,55,0.02,-125,Loss
228,204,0.02,-464,Loss
229,621,0.01,-861,Loss
230,120,0.03,-390,Loss
231,62,0.02,-312,Loss
232,115,0.03,-385,Loss
233,205,0.02,-475,Loss
234,115,0.03,-385,Loss
235,408,0.01,-668,Loss
236,132,0.01,-362,Loss
237,504,0.02,-724,Loss
238,178,0.03,-408,Loss
239,71,0.01,-331,Loss
240,35,0.02,-295,Loss
241,242,0.02,-492,Loss
242,181,0.02,-401,Loss
243,60,0.02,-330,Loss
244,138,0.02,-368,Loss
245,160,0.02,-430,Loss
246,68,0.01,-288,Loss
247,26,0.02,-306,Loss
248,168,0.02,-428,Loss
249,149,0.02,-409,Loss
250,135,0.01,-395,Loss
251,224,0.02,-474,Loss
252,68,0.01,-348,Loss
253,446,0.02,-666,Loss
254,87,0.01,-307,Loss
255,166,0.03,-186,Loss
256,32,0.02,-282,Loss
257,37,0.02,-287,Loss
258,192,0.03,-452,Loss
259,433,0.02,-643,Loss
260,121,0.03,-391,Loss
261,140,0.03,-370,Loss
262,334,0.02,-584,Loss
263,203,0.02,-463,Loss
264,35,0.02,-295,Loss
265,235,0.02,-465,Loss
266,101,0.01,-321,Loss
267,177,0.01,-397,Loss
268,75,0.02,-335,Loss
269,225,0.02,-465,Loss
270,20,0.03,-370,Loss
271,266,0.03,-526,Loss
272,84,0.04,-424,Loss
273,63,0.02,-293,Loss
274,102,0.03,-372,Loss
275,244,0.02,-504,Loss
276,75,0.02,-325,Loss
277,206,0.02,-466,Loss
278,209,0.02,-459,Loss
279,273,0.02,-493,Loss
280,311,0.02,-581,Loss
281,272,0.02,-492,Loss
282,53,0.01,-313,Loss
283,37,0.02,-297,Loss
284,53,0.02,-313,Loss
285,287,0.02,-307,Loss
286,123,0.04,-463,Loss
287,58,0.03,-298,Loss
288,39,0.04,-179,Loss
289,218,0.01,-468,Loss
290,35,0.02,-295,Loss
291,288,0.02,-308,Loss
292,117,0.03,-177,Loss
293,172,0.02,-442,Loss
294,116,0.04,-376,Loss
295,181,0.03,-411,Loss
296,214,0.02,-484,Loss
297,116,0.03,-376,Loss
298,149,0.03,-389,Loss
299,245,0.03,-475,Loss
300,85,0.03,-425,Loss
301,207,0.02,-467,Loss
302,337,0.02,-547,Loss
303,39,0.03,-179,Loss
304,133,0.02,-353,Loss
305,74,0.01,-324,Loss
306,80,0.01,-360,Loss
307,97,0.03,-437,Loss
308,139,0.04,-399,Loss
309,189,0.02,-409,Loss
310,361,0.02,-571,Loss
311,38,0.02,-298,Loss
312,271,0.02,-501,Loss
313,33,0.02,-293,Loss
314,485,0.01,-735,Loss
315,194,0.02,-434,Loss
316,259,0.02,-529,Loss
317,137,0.01,-397,Loss
318,120,0.03,-390,Loss
319,149,0.02,-379,Loss
320,106,0.03,-376,Loss
321,178,0.03,-418,Loss
322,196,0.02,-406,Loss
323,120,0.03,-380,Loss
324,342,0.02,-592,Loss
325,174,0.02,-434,Loss
326,125,0.03,-385,Loss
327,145,0.02,-415,Loss
328,68,0.02,-108,Loss
329,151,0.03,-421,Loss
330,124,0.02,-144,Loss
331,128,0.03,-388,Loss
